date,author,title,authors
2022-03-03 21:10:22+00:00,Amy K Hoover,Transfer Dynamics in Emergent Evolutionary Curricula,Amy K Hoover
2022-03-03 21:10:22+00:00,Julian Togelius,Transfer Dynamics in Emergent Evolutionary Curricula,Julian Togelius
2022-03-03 21:10:22+00:00,L. B. Soros,Transfer Dynamics in Emergent Evolutionary Curricula,L. B. Soros
2022-02-17 18:55:13+00:00,Eleni Nisioti,Plasticity and evolvability under environmental variability: the joint role of fitness-based selection and niche-limited competition,Eleni Nisioti
2022-02-17 18:55:13+00:00,Clément Moulin-Frier,Plasticity and evolvability under environmental variability: the joint role of fitness-based selection and niche-limited competition,Clément Moulin-Frier
2021-12-25 14:53:50+00:00,Lana Sinapayen,Evolutionary Generation of Visual Motion Illusions,Lana Sinapayen
2021-12-25 14:53:50+00:00,Eiji Watanabe,Evolutionary Generation of Visual Motion Illusions,Eiji Watanabe
2021-08-10 08:21:45+00:00,Matthew Andres Moreno,"Matchmaker, Matchmaker, Make Me a Match: Geometric, Variational, and Evolutionary Implications of Criteria for Tag Affinity",Matthew Andres Moreno
2021-08-10 08:21:45+00:00,Alexander Lalejini,"Matchmaker, Matchmaker, Make Me a Match: Geometric, Variational, and Evolutionary Implications of Criteria for Tag Affinity",Alexander Lalejini
2021-08-10 08:21:45+00:00,Charles Ofria,"Matchmaker, Matchmaker, Make Me a Match: Geometric, Variational, and Evolutionary Implications of Criteria for Tag Affinity",Charles Ofria
2021-08-09 19:03:15+00:00,Carlos Gershenson,"Intelligence as information processing: brains, swarms, and computers",Carlos Gershenson
2021-08-01 07:20:49+00:00,Matthew Andres Moreno,SignalGP-Lite: Event Driven Genetic Programming Library for Large-Scale Artificial Life Applications,Matthew Andres Moreno
2021-08-01 07:20:49+00:00,Santiago Rodriguez Papa,SignalGP-Lite: Event Driven Genetic Programming Library for Large-Scale Artificial Life Applications,Santiago Rodriguez Papa
2021-08-01 07:20:49+00:00,Alexander Lalejini,SignalGP-Lite: Event Driven Genetic Programming Library for Large-Scale Artificial Life Applications,Alexander Lalejini
2021-08-01 07:20:49+00:00,Charles Ofria,SignalGP-Lite: Event Driven Genetic Programming Library for Large-Scale Artificial Life Applications,Charles Ofria
2021-07-13 00:07:44+00:00,Q. Tyrell Davis,Carle's Game: An Open-Ended Challenge in Exploratory Machine Creativity,Q. Tyrell Davis
2021-07-03 13:07:58+00:00,Aritra Sarkar,QKSA: Quantum Knowledge Seeking Agent,Aritra Sarkar
2021-05-27 16:54:23+00:00,Carlos Gershenson,Artificial life: sustainable self-replicating systems,Carlos Gershenson
2021-05-27 16:54:23+00:00,Jitka Cejkova,Artificial life: sustainable self-replicating systems,Jitka Cejkova
2021-04-30 16:40:52+00:00,Carlos Gershenson,Emergence in artificial life,Carlos Gershenson
2021-03-15 14:33:19+00:00,Lance R. Williams,Increased Complexity and Fitness of Artificial Cells that Reproduce Using Spatially Distributed Asynchronous Parallel Processes,Lance R. Williams
2021-03-15 09:55:43+00:00,Germán Kruszewski,Emergence of Self-Reproducing Metabolisms as Recursive Algorithms in an Artificial Chemistry,Germán Kruszewski
2021-03-15 09:55:43+00:00,Tomas Mikolov,Emergence of Self-Reproducing Metabolisms as Recursive Algorithms in an Artificial Chemistry,Tomas Mikolov
2021-02-24 15:49:20+00:00,Aymeric Vie,Modelling SARS-CoV-2 coevolution with genetic algorithms,Aymeric Vie
2021-02-24 05:43:44+00:00,Lana Sinapayen,Perspective: Purposeful Failure in Artificial Life and Artificial Intelligence,Lana Sinapayen
2021-01-19 14:02:54+00:00,Karol Gregor,Self-Organizing Intelligent Matter: A blueprint for an AI generating algorithm,Karol Gregor
2021-01-19 14:02:54+00:00,Frederic Besse,Self-Organizing Intelligent Matter: A blueprint for an AI generating algorithm,Frederic Besse
2020-12-21 19:21:12+00:00,Fosco Loregian,Rosen's no-go theorem for regular categories,Fosco Loregian
2020-11-11 02:18:02+00:00,Tatjana Škrbić,Building blocks of protein structures -- Physics meets Biology,Tatjana Škrbić
2020-11-11 02:18:02+00:00,Amos Maritan,Building blocks of protein structures -- Physics meets Biology,Amos Maritan
2020-11-11 02:18:02+00:00,Achille Giacometti,Building blocks of protein structures -- Physics meets Biology,Achille Giacometti
2020-11-11 02:18:02+00:00,George D. Rose,Building blocks of protein structures -- Physics meets Biology,George D. Rose
2020-11-11 02:18:02+00:00,Jayanth R. Banavar,Building blocks of protein structures -- Physics meets Biology,Jayanth R. Banavar
2020-11-05 17:53:33+00:00,Aymeric Vie,"Qualities, challenges and future of genetic algorithms: a literature review",Aymeric Vie
2020-11-05 17:53:33+00:00,Alissa M. Kleinnijenhuis,"Qualities, challenges and future of genetic algorithms: a literature review",Alissa M. Kleinnijenhuis
2020-11-05 17:53:33+00:00,Doyne J. Farmer,"Qualities, challenges and future of genetic algorithms: a literature review",Doyne J. Farmer
2020-09-09 18:59:53+00:00,Kristine Heiney,On Artificial Life and Emergent Computation in Physical Substrates,Kristine Heiney
2020-09-09 18:59:53+00:00,Gunnar Tufte,On Artificial Life and Emergent Computation in Physical Substrates,Gunnar Tufte
2020-09-09 18:59:53+00:00,Stefano Nichele,On Artificial Life and Emergent Computation in Physical Substrates,Stefano Nichele
2020-08-31 11:47:45+00:00,Barbora Hudcova,Classification of Complex Systems Based on Transients,Barbora Hudcova
2020-08-31 11:47:45+00:00,Tomas Mikolov,Classification of Complex Systems Based on Transients,Tomas Mikolov
2020-07-16 17:48:05+00:00,Aaron Dharna,Co-generation of game levels and game-playing agents,Aaron Dharna
2020-07-16 17:48:05+00:00,Julian Togelius,Co-generation of game levels and game-playing agents,Julian Togelius
2020-07-16 17:48:05+00:00,L. B. Soros,Co-generation of game levels and game-playing agents,L. B. Soros
2020-07-07 21:04:10+00:00,Anya E. Vostinar,Artificial Life in Game Mods for Intuitive Evolution Education,Anya E. Vostinar
2020-07-07 21:04:10+00:00,Barbara Z. Johnson,Artificial Life in Game Mods for Intuitive Evolution Education,Barbara Z. Johnson
2020-07-07 21:04:10+00:00,Kevin Connors,Artificial Life in Game Mods for Intuitive Evolution Education,Kevin Connors
2020-06-29 17:14:29+00:00,Matt Grove,Coloured noise time series as appropriate models for environmental variation in artificial evolutionary systems,Matt Grove
2020-06-29 17:14:29+00:00,James M. Borg,Coloured noise time series as appropriate models for environmental variation in artificial evolutionary systems,James M. Borg
2020-06-29 17:14:29+00:00,Fiona Polack,Coloured noise time series as appropriate models for environmental variation in artificial evolutionary systems,Fiona Polack
2020-06-12 22:28:09+00:00,Adrien Ecoffet,Open Questions in Creating Safe Open-ended AI: Tensions Between Control and Creativity,Adrien Ecoffet
2020-06-12 22:28:09+00:00,Jeff Clune,Open Questions in Creating Safe Open-ended AI: Tensions Between Control and Creativity,Jeff Clune
2020-06-12 22:28:09+00:00,Joel Lehman,Open Questions in Creating Safe Open-ended AI: Tensions Between Control and Creativity,Joel Lehman
2020-06-04 18:02:31+00:00,Tim Taylor,The Importance of Open-Endedness (for the Sake of Open-Endedness),Tim Taylor
2020-05-12 21:28:31+00:00,M. Buliga,Artificial life properties of directed interaction combinators vs. chemlambda,M. Buliga
2020-05-07 20:41:13+00:00,Bert Wang-Chak Chan,Lenia and Expanded Universe,Bert Wang-Chak Chan
2020-04-25 07:45:20+00:00,Lucas Lamata,Quantum machine learning and quantum biomimetics: A perspective,Lucas Lamata
2020-04-07 00:13:14+00:00,Una-May O'Reilly,Adversarial Genetic Programming for Cyber Security: A Rising Application Domain Where GP Matters,Una-May O'Reilly
2020-04-07 00:13:14+00:00,Jamal Toutouh,Adversarial Genetic Programming for Cyber Security: A Rising Application Domain Where GP Matters,Jamal Toutouh
2020-04-07 00:13:14+00:00,Marcos Pertierra,Adversarial Genetic Programming for Cyber Security: A Rising Application Domain Where GP Matters,Marcos Pertierra
2020-04-07 00:13:14+00:00,Daniel Prado Sanchez,Adversarial Genetic Programming for Cyber Security: A Rising Application Domain Where GP Matters,Daniel Prado Sanchez
2020-04-07 00:13:14+00:00,Dennis Garcia,Adversarial Genetic Programming for Cyber Security: A Rising Application Domain Where GP Matters,Dennis Garcia
2020-04-07 00:13:14+00:00,Anthony Erb Luogo,Adversarial Genetic Programming for Cyber Security: A Rising Application Domain Where GP Matters,Anthony Erb Luogo
2020-04-07 00:13:14+00:00,Jonathan Kelly,Adversarial Genetic Programming for Cyber Security: A Rising Application Domain Where GP Matters,Jonathan Kelly
2020-04-07 00:13:14+00:00,Erik Hemberg,Adversarial Genetic Programming for Cyber Security: A Rising Application Domain Where GP Matters,Erik Hemberg
2020-02-28 18:54:37+00:00,Juste Raimbault,Cities as they could be: Artificial Life and Urban Systems,Juste Raimbault
2019-11-04 09:35:54+00:00,Hugo Cisneros,Evolving Structures in Complex Systems,Hugo Cisneros
2019-11-04 09:35:54+00:00,Josef Sivic,Evolving Structures in Complex Systems,Josef Sivic
2019-11-04 09:35:54+00:00,Tomas Mikolov,Evolving Structures in Complex Systems,Tomas Mikolov
2019-09-10 12:20:19+00:00,Norman Packard,An Overview of Open-Ended Evolution: Editorial Introduction to the Open-Ended Evolution II Special Issue,Norman Packard
2019-09-10 12:20:19+00:00,Mark A. Bedau,An Overview of Open-Ended Evolution: Editorial Introduction to the Open-Ended Evolution II Special Issue,Mark A. Bedau
2019-09-10 12:20:19+00:00,Alastair Channon,An Overview of Open-Ended Evolution: Editorial Introduction to the Open-Ended Evolution II Special Issue,Alastair Channon
2019-09-10 12:20:19+00:00,Takashi Ikegami,An Overview of Open-Ended Evolution: Editorial Introduction to the Open-Ended Evolution II Special Issue,Takashi Ikegami
2019-09-10 12:20:19+00:00,Steen Rasmussen,An Overview of Open-Ended Evolution: Editorial Introduction to the Open-Ended Evolution II Special Issue,Steen Rasmussen
2019-09-10 12:20:19+00:00,Kenneth O. Stanley,An Overview of Open-Ended Evolution: Editorial Introduction to the Open-Ended Evolution II Special Issue,Kenneth O. Stanley
2019-09-10 12:20:19+00:00,Tim Taylor,An Overview of Open-Ended Evolution: Editorial Introduction to the Open-Ended Evolution II Special Issue,Tim Taylor
2019-07-30 09:51:30+00:00,David Kadish,An artifcial life approach to studying niche differentiation in soundscape ecology,David Kadish
2019-07-30 09:51:30+00:00,Sebastian Risi,An artifcial life approach to studying niche differentiation in soundscape ecology,Sebastian Risi
2019-07-30 09:51:30+00:00,Laura Beloff,An artifcial life approach to studying niche differentiation in soundscape ecology,Laura Beloff
2019-06-06 22:46:05+00:00,Hortense Le Ferrand,Robotics: Science preceding science fiction,Hortense Le Ferrand
2019-03-14 21:26:43+00:00,Carlos Gershenson,Self-Organization and Artificial Life,Carlos Gershenson
2019-03-14 21:26:43+00:00,Vito Trianni,Self-Organization and Artificial Life,Vito Trianni
2019-03-14 21:26:43+00:00,Justin Werfel,Self-Organization and Artificial Life,Justin Werfel
2019-03-14 21:26:43+00:00,Hiroki Sayama,Self-Organization and Artificial Life,Hiroki Sayama
2018-12-30 11:00:48+00:00,Yew-Soon Ong,AIR5: Five Pillars of Artificial Intelligence Research,Yew-Soon Ong
2018-12-30 11:00:48+00:00,Abhishek Gupta,AIR5: Five Pillars of Artificial Intelligence Research,Abhishek Gupta
2018-12-13 13:58:24+00:00,Bert Wang-Chak Chan,Lenia - Biology of Artificial Life,Bert Wang-Chak Chan
2018-07-16 16:16:11+00:00,Dennis G Wilson,Evolving Differentiable Gene Regulatory Networks,Dennis G Wilson
2018-07-16 16:16:11+00:00,Kyle Harrington,Evolving Differentiable Gene Regulatory Networks,Kyle Harrington
2018-07-16 16:16:11+00:00,Sylvain Cussat-Blanc,Evolving Differentiable Gene Regulatory Networks,Sylvain Cussat-Blanc
2018-07-16 16:16:11+00:00,Hervé Luga,Evolving Differentiable Gene Regulatory Networks,Hervé Luga
2018-07-12 10:08:21+00:00,Erik Aaron Hansen,Achieving Connectivity Between Wide Areas Through Self-Organising Robot Swarm Using Embodied Evolution,Erik Aaron Hansen
2018-07-12 10:08:21+00:00,Stefano Nichele,Achieving Connectivity Between Wide Areas Through Self-Organising Robot Swarm Using Embodied Evolution,Stefano Nichele
2018-07-12 10:08:21+00:00,Anis Yazidi,Achieving Connectivity Between Wide Areas Through Self-Organising Robot Swarm Using Embodied Evolution,Anis Yazidi
2018-07-12 10:08:21+00:00,Hårek Haugerud,Achieving Connectivity Between Wide Areas Through Self-Organising Robot Swarm Using Embodied Evolution,Hårek Haugerud
2018-07-12 10:08:21+00:00,Asieh Abolpour Mofrad,Achieving Connectivity Between Wide Areas Through Self-Organising Robot Swarm Using Embodied Evolution,Asieh Abolpour Mofrad
2018-07-12 10:08:21+00:00,Alex Alcocer,Achieving Connectivity Between Wide Areas Through Self-Organising Robot Swarm Using Embodied Evolution,Alex Alcocer
2018-06-23 07:47:57+00:00,Janardan Misra,An Inductive Formalization of Self Reproduction in Dynamical Hierarchies,Janardan Misra
2018-06-04 18:52:40+00:00,Tim Taylor,Past Visions of Artificial Futures: One Hundred and Fifty Years under the Spectre of Evolving Machines,Tim Taylor
2018-06-04 18:52:40+00:00,Alan Dorin,Past Visions of Artificial Futures: One Hundred and Fifty Years under the Spectre of Evolving Machines,Alan Dorin
2018-04-03 19:44:09+00:00,Carlos Gershenson,Self-Organization and Artificial Life: A Review,Carlos Gershenson
2018-04-03 19:44:09+00:00,Vito Trianni,Self-Organization and Artificial Life: A Review,Vito Trianni
2018-04-03 19:44:09+00:00,Justin Werfel,Self-Organization and Artificial Life: A Review,Justin Werfel
2018-04-03 19:44:09+00:00,Hiroki Sayama,Self-Organization and Artificial Life: A Review,Hiroki Sayama
2018-03-09 10:17:18+00:00,Joel Lehman,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Joel Lehman
2018-03-09 10:17:18+00:00,Jeff Clune,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Jeff Clune
2018-03-09 10:17:18+00:00,Dusan Misevic,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Dusan Misevic
2018-03-09 10:17:18+00:00,Christoph Adami,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Christoph Adami
2018-03-09 10:17:18+00:00,Lee Altenberg,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Lee Altenberg
2018-03-09 10:17:18+00:00,Julie Beaulieu,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Julie Beaulieu
2018-03-09 10:17:18+00:00,Peter J. Bentley,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Peter J. Bentley
2018-03-09 10:17:18+00:00,Samuel Bernard,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Samuel Bernard
2018-03-09 10:17:18+00:00,Guillaume Beslon,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Guillaume Beslon
2018-03-09 10:17:18+00:00,David M. Bryson,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,David M. Bryson
2018-03-09 10:17:18+00:00,Patryk Chrabaszcz,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Patryk Chrabaszcz
2018-03-09 10:17:18+00:00,Nick Cheney,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Nick Cheney
2018-03-09 10:17:18+00:00,Antoine Cully,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Antoine Cully
2018-03-09 10:17:18+00:00,Stephane Doncieux,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Stephane Doncieux
2018-03-09 10:17:18+00:00,Fred C. Dyer,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Fred C. Dyer
2018-03-09 10:17:18+00:00,Kai Olav Ellefsen,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Kai Olav Ellefsen
2018-03-09 10:17:18+00:00,Robert Feldt,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Robert Feldt
2018-03-09 10:17:18+00:00,Stephan Fischer,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Stephan Fischer
2018-03-09 10:17:18+00:00,Stephanie Forrest,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Stephanie Forrest
2018-03-09 10:17:18+00:00,Antoine Frénoy,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Antoine Frénoy
2018-03-09 10:17:18+00:00,Christian Gagné,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Christian Gagné
2018-03-09 10:17:18+00:00,Leni Le Goff,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Leni Le Goff
2018-03-09 10:17:18+00:00,Laura M. Grabowski,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Laura M. Grabowski
2018-03-09 10:17:18+00:00,Babak Hodjat,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Babak Hodjat
2018-03-09 10:17:18+00:00,Frank Hutter,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Frank Hutter
2018-03-09 10:17:18+00:00,Laurent Keller,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Laurent Keller
2018-03-09 10:17:18+00:00,Carole Knibbe,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Carole Knibbe
2018-03-09 10:17:18+00:00,Peter Krcah,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Peter Krcah
2018-03-09 10:17:18+00:00,Richard E. Lenski,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Richard E. Lenski
2018-03-09 10:17:18+00:00,Hod Lipson,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Hod Lipson
2018-03-09 10:17:18+00:00,Robert MacCurdy,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities,Robert MacCurdy
